journal,esi_field,p_value,p_use,p_reporting,significance,stat_sig_use,stat_sig_reporting,conf_int,conf_int_use,conf_int_reporting,effect_size,effect_size_use,effect_size_reporting,sample_size,sample_size_use,bayes,bayes_use
PLANT JOURNAL,PLANT & ANIMAL SCIENCE,"*, **, *** should be reserved for P-values",Implicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
Journal of Allergy and Clinical Immunology-In Practice,IMMUNOLOGY,"• Every P value should be reported using two digits after the decimal point. If each of the first two digits after the decimal point is zero, then a third digit can be used. If each of the first three digits after the decimal point is zero, then simply report P < .001.
• If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is > 0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS).
• P values alone are not sufficient to report the results of statistical tests. JACI: In Practice’s readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons.",Implicit endorsement,Exact unless very small,"• If the P value is close to the level to be used for claiming a statistical significance or if each of the first two digits after the decimal point is zero, then a third digit can be used. For example, if the significance level is 0.05, then P = .046 or P = .054 can be reported. Nonsignificant results (e.g., where the P value is > 0.05) should be accompanied by P values; it should not simply be stated that they are nonsignificant (NS).",Implicit endorsement,No guidance,"• P values alone are not sufficient to report the results of statistical tests. JACI: In Practice’s readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons.

If the distribution for a continuous variable is approximately normally distributed, then report either
• the sample mean and the sample standard deviation or
• the sample mean and the 95% confidence interval for the population mean.
If the distribution for a continuous variable is known (or suspected) to be nonnormal, then report either
•the sample median and the sample interquartile range or
• the sample median and the sample first and third quartiles.
Many blood and urine measurements are log-normally distributed-i.e., the logtransformed variable is approximately normally distributed. If the distribution for a continuous variable is known (or suspected) to be lognormal, then an alternative to sample medians and quartiles is to report either
• the sample geometric mean (calculate as the exponentiation of the sample mean of the natural log-transformed data) and the sample coefficient of variation or
• the sample geometric mean and the 95% confidence interval.
If the distribution of the variable is categorical, then report the raw numbers and the percentages for the categories. Do not use more than three digits for the percentages-i.e., 79% or 79.3% are fine, but 79.32% is not.

An estimate of odds ratios and relative risks (and their corresponding confidence interval estimates) should not exceed two digits beyond the decimal point.",Implicit endorsement,Report 95% Cis,• P values alone are not sufficient to report the results of statistical tests. JACI: In Practice’s readers need to see the magnitude of the effects via point estimates and 95% confidence intervals for the group comparisons.,Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
ANNALS OF INTERNAL MEDICINE,CLINICAL MEDICINE,"9. Statistical Significance and P Values

Avoid interpreting results based upon statistical significance alone, and follow the principles of proper use and interpretation of the p-value from the American Statistical Association. (ASA's Statement on Statistical Significance and P-values) Consider the clinical importance of observed differences and the width of 95% confidence intervals when interpreting results. In situations where results are consistent with 'no difference' be sure to differentiate results that are indeterminate (consistent with clinically meaningful benefits) from those that are negative (rule-out clinically meaningful benefits).

Useful resources:

Greenland S, Senn SJ, Rothman KJ, et al. Statistical tests, P values, confidence intervals and power: a guide to misinterpretations. Eur J Epidemiol. 2016;31:337-350.

Goodman SN, Berlin JA. The use of predicted confidence intervals when planning experiments and the misuse of power when interpreting results. Ann Intern Med. 1994;121:200-206.

Goodman SN. A dirty dozen: twelve p-value misconceptions. Semin Hematol. 2008;45:135-140.

Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician. 2016;70:129-133. doi:10.1080/00031305.2016.1154108

...

For P values between 0.001 and 0.20, please report the value to the nearest thousandth. For P values greater than 0.20, please report the value to the nearest hundredth. For P values less than 0.001, report as “P<0.001.” ... Only use the word trend when describing a test for trend or dose-response. Avoid the term trend when referring to P values near but not below 0.05. In such instances, simply report a difference and the confidence interval of the difference (if appropriate) with or without the P value...In tables that simply describe the characteristics of 2 or more groups (e.g., Table 1 of a clinical trial): ...Avoid reporting P values as there can be imbalance when P values are not significant (because of small sample size) and balance when P values are significant (because of large sample size).",Implicit endorsement,Exact unless very small,"9. Statistical Significance and P Values

Avoid interpreting results based upon statistical significance alone, and follow the principles of proper use and interpretation of the p-value from the American Statistical Association. (ASA's Statement on Statistical Significance and P-values) Consider the clinical importance of observed differences and the width of 95% confidence intervals when interpreting results. In situations where results are consistent with 'no difference' be sure to differentiate results that are indeterminate (consistent with clinically meaningful benefits) from those that are negative (rule-out clinically meaningful benefits).

Useful resources:

Greenland S, Senn SJ, Rothman KJ, et al. Statistical tests, P values, confidence intervals and power: a guide to misinterpretations. Eur J Epidemiol. 2016;31:337-350.

Goodman SN, Berlin JA. The use of predicted confidence intervals when planning experiments and the misuse of power when interpreting results. Ann Intern Med. 1994;121:200-206.

Goodman SN. A dirty dozen: twelve p-value misconceptions. Semin Hematol. 2008;45:135-140.

Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician. 2016;70:129-133. doi:10.1080/00031305.2016.1154108


...


Screening covariates

Approaches that select factors for inclusion in a multivariable model only if the factors are “statistically significant” in “bivariate screening” are not optimal. A factor can be a confounder even if it is not statistically significant by itself because it changes the effect of the exposure of interest when it is included in the model, or because it is a confounder only when included with other covariates.

Useful resource:

Sun GW, Shook TL, Kay GL. Inappropriate use of bivariable analysis to screen risk factors for use in multivariable analysis. J Clin Epidemiol. 1996;49:907-16. PMID: 8699212",Implicit opposition,No guidance,"Report confidence intervals, rather than standard errors, when possible...Only use the word trend when describing a test for trend or dose-response. Avoid the term trend when referring to P values near but not below 0.05. In such instances, simply report a difference and the confidence interval of the difference (if appropriate) with or without the P value... If several risk factors for disease are considered in a logistic regression model and some of these risk factors are measured with error, the point and interval estimates of relative risk corresponding to any of these factors may be biased either toward or away from the null value; the direction of bias is never certain. In addition to potentially biased estimates, confidence intervals of correctly adjusted estimates will be wider, sometime substantially, than naïve confidence intervals. Authors are encouraged to consult the references below for strategies to address this problem.

Useful resources:

Rosner B, Spiegelman D, Willett WC. Correction of logistic regression relative risk estimates and confidence intervals for measurement error: the case of multiple covariates measured with error. Am J Epidemiol. 1990;132:734-45. PMID: 2403114

Carroll R. Measurement Error in epidemiologic studies. In Encyclopedia of Biostatistics. New York: John Wiley & Sons; 1998. ISBN: 0471975761

...

All estimates should reflect a clinically meaningful change, along with 95% confidence bounds

...
Between-group differences

For comparisons of interventions (e.g., trials), focus on between- group differences, with 95% confidence intervals of the differences, and not on within-group differences. State the results using absolute numbers (numerator/denominator) when feasible. When discussing effects, refer to the confidence intervals rather than P values and point out for readers if the confidence intervals exclude the possibility of significant clinical benefit or harm.

...

For all of these reasons, we recommend that authors present cumulative incidence curves (inverted Kaplan-Meier plots) along with tabular summaries of absolute differences in cumulative incidence, with 95% confidence bounds, at meaningful times...

...

Consider providing a table of predicted probabilities for each of the factors of interest, and confidence intervals of those predicted probabilities.",Explicit endorsement,Report 95% Cis,"Clinically meaningful estimates

Authors should report results for meaningful metrics rather than reporting raw results. For example, rather than reporting the log odds ratio from a logistic regression, authors should transform coefficients into the appropriate measure of effect size, odds ratio, relative risk, or risk difference. Estimates, such as an odds ratio or relative risk, should not be reported for a 1-unit change in the factor of interest if a 1-unit change lacks clinical meaning (age, mm Hg of blood pressure, or any other continuous or interval measurement with small units). All estimates should reflect a clinically meaningful change, along with 95% confidence bounds.

...

Between-group differences

For comparisons of interventions (e.g., trials), focus on between- group differences, with 95% confidence intervals of the differences, and not on within-group differences. State the results using absolute numbers (numerator/denominator) when feasible. When discussing effects, refer to the confidence intervals rather than P values and point out for readers if the confidence intervals exclude the possibility of significant clinical benefit or harm.

...

Odds ratios and predicted probabilities

Authors often report odds ratios for multivariable results when the odds ratio is difficult to interpret or not meaningful. First, the odds ratio might overstate the effect size when the reference risk is high. For example, if the reference risk is 25% (odds = 0.33) and the odds ratio is 3.0, the relative risk is only 2.0. Statements such as “3-fold increased risk” or “3 times the risk” are incorrect. Second, readers want an easily understood measure of the level of risk (and the confidence intervals) for different groups of patients as defined by treatment, exposure, and covariates. Consider providing a table of predicted probabilities for each of the factors of interest, and confidence intervals of those predicted probabilities. Moreover, a multiway table that cross-classifies predicted probabilities by the most important factor and then adjusts for the remaining factors will often be more meaningful than a table of adjusted odds ratios. Standard commercial software can produce predicted probabilities and confidence bounds.

Useful resource:

Altman DG, Deeks JJ, Sackett DL. Odds ratios should be avoided when events are common. BMJ. 1998;317:1318. PMID: 9804732

Hazard Ratios and Standardized Cumulative Incidence

Authors often report results from analysis of survival or time-to-event data using hazard ratios estimated from proportional hazards Cox models. Hazard ratios are notoriously difficult to interpret clinically, may be sensitive to the length of follow-up, and rely on model assumptions, such as proportional hazards. In addition, presenting estimates of effect in both absolute and relative terms increases the likelihood that results will be correctly interpreted. For all of these reasons, we recommend that authors present cumulative incidence curves (inverted Kaplan-Meier plots) along with tabular summaries of absolute differences in cumulative incidence, with 95% confidence bounds, at meaningful times, when reporting results from survival analyses. When such an analysis requires covariate adjustment, authors can estimate and present covariate-standardized (weighted) cumulative incidence curves with differences in adjusted cumulative incidence at meaningful times.

Useful resources:

Hernan MA. The hazards of hazard ratios. Epidemiology. 2010;21:13-5. PMID: 20010207

Uno H, Wittes J, Fu H, et al. Alternatives to hazard ratios for comparing the efficacy or safety of therapies in noninferiority studies. Ann Intern Med. 2015;163:127-134. doi:10.7326/M14-1741

Therneau T, Crowson CS, Atkinson EJ. Adjusted Survival Curves. http://cran.r-project.org/web/packages/survival/vignettes/adjcurve.pdf

Cole SR, Hernan MA. Adjusted survival curves with inverse probability weights. Comput Methods Programs Biomed. 2004;75:45-49. PMID: 15158046

Zhang X, Zhang MJ. SAS macros for estimation of direct adjusted cumulative incidence curves under proportional subdistribution hazards models. Comput Methods Programs Biomed. 2011;101(1):87-93. doi:10.1016/j.cmpb.2010.07.005

Storer BE, Gooley TA, Jones MP. Adjusted estimates for time-to-event endpoints. Lifetime Data Anal. 2008;14(4):484-495. doi:10.1007/s10985-008-9098-9.

...

8. Meta-analysis...

If you use meta-regression, specify how the independent variables are coded for the model. Simple binary variables and mean values are easily understood and modeled. Note that proportions are naturally nonlinear and are best represented and modeled on either the logit or arcsine scale.",Explicit endorsement,No guidance,NA,No guidance,"For Bayesian methods, provide full code, including starting values and priors, within an appendix.",Implicit endorsement
PLANT BIOTECHNOLOGY JOURNAL,PLANT & ANIMAL SCIENCE,"All abbreviations must be defined in footnotes. Footnote symbols: †, ‡, §, ¶, should be used (in that order) and *, **, *** should be reserved for P-values.",Implicit endorsement,"Thresholds [0.05, 0.01, 0.001]",NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
AMERICAN JOURNAL OF PSYCHIATRY,PSYCHIATRY_PSYCHOLOGY,"All significant and important nonsignificant results must include the test value, degree(s) of freedom, and probability",Implicit endorsement,Exact,"All significant and important nonsignificant results must include the test value, degree(s) of freedom, and probability",Implicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHIATRY_PSYCHOLOGY,"All significant results must include the test value, degree(s) of freedom, and probability level.",Implicit endorsement,Exact,"All significant results must include the test value, degree(s) of freedom, and probability level.",Implicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
Conservation Letters,ENVIRONMENT_ECOLOGY,"Any article reporting p-values must also report 95% Confidence Intervals (CIs) in the text and in figures. All figures that include data used in statistical analyses must show error bars on the figure, either in the main text or Supporting Information. Where possible, these error bars should show 95% CIs, but in all cases authors must be explicit about what the error bars show.",Implicit endorsement,No guidance,NA,No guidance,No guidance,"Any article reporting p-values must also report 95% Confidence Intervals (CIs) in the text and in figures. All figures that include data used in statistical analyses must show error bars on the figure, either in the main text or Supporting Information. Where possible, these error bars should show 95% CIs, but in all cases authors must be explicit about what the error bars show.",Explicit endorsement,Report 95% Cis,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
JOURNAL OF EXPERIMENTAL MEDICINE,IMMUNOLOGY,"Authors should provide clear, detailed descriptions of their statistical analysis in the Materials and methods section and/or figure legends, including but not limited to the statistical test used, actual p-values, number of biological and technical replicates, measure of center, and measure of variability.",Explicit endorsement,Exact,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
JOURNAL OF MANAGEMENT,ECONOMICS & BUSINESS,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",Explicit endorsement,Exact,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",Explicit opposition,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
JAMA Internal Medicine,CLINICAL MEDICINE,"Avoid solely reporting the results of statistical hypothesis testing, such as P values, which fail to convey important quantitative information. For most studies, P values should follow the reporting of comparisons of absolute numbers or rates and measures of uncertainty (eg, 0.8%, 95% CI −0.2% to 1.8%; P = .13). If P values are reported, follow standard conventions for decimal places: for P values less than .001, report as ""P<.001""; for P values between .001 and .01, report the value to the nearest thousandth; for P values greater than or equal to .01, report the value to the nearest hundredth; and for P values greater than .99, report as ""P>.99."" For studies with exponentially small P values (eg, genetic association studies), P values may be reported with exponents (eg, P = 1×10−5).",Implicit endorsement,Exact unless very small,"Report basic numbers only but state if results are statistically significant or not significant;

Do not use inappropriate hedge terms such as marginal significance or trend toward significance for results that are not statistically significant.

State any a priori levels of significance and whether hypothesis tests were 1- or 2-sided.",Explicit endorsement,Report alpha,"In the reporting of results, when possible, quantify findings and present them with appropriate indicators of measurement error or uncertainty, such as confidence intervals (see Reporting Standards and Data Presentation).

When possible, present numerical results (eg, absolute numbers and/or rates) with appropriate indicators of uncertainty, such as confidence intervals.

Measures of relative risk also may be reported (eg, relative risk, hazard ratios) and should include confidence intervals.

Columns should include the name of the treatment, strength of evidence supporting the treatment, the treatment's effect (preferably shown as the treatment's effect as compared to control on the measured outcome together with 95% confidence intervals), adverse effects, and very brief comments, if necessary.",Explicit endorsement,Report 95% Cis,"Meta-analyses should state the major outcomes that were pooled and include odds ratios or effect sizes and, if possible, sensitivity analyses.",Explicit endorsement,No guidance,"For randomized trials, a statement of the power or sample size calculation is required (see the EQUATOR Network CONSORT Guidelines). For observational studies that use an established population, a power calculation is not generally required when the sample size is fixed. However, if the sample size was determined by the researchers, through any type of sampling or matching, then there should be some justification for the number sampled. In any case, describe power and sample size calculations at the beginning of the Statistical Methods section, following the general description of the study population.",Explicit endorsement,NA,No guidance
