coder,journal,has_guidance,has_external_guidance,external_guidance_raw,external_guidance_list,has_internal_guidance,has_internal_guidance_section,has_p_value,p_value,has_significance,significance,has_null_hypo,null_hypo,has_sample_size,sample_size,has_conf_int,conf_int,has_effect_size,effect_size,has_multi_compare,multi_compare,has_subgroup,subgroup,has_baseline_covar,baseline_covar,has_non_param,non_param,has_sensitivity,sensitivity,has_model_assume,model_assume,has_exclusion,exclusion,has_outliers,outliers,has_missing,missing,has_one_sided,one_sided,has_bayes,bayes,has_secondary,secondary,has_prespecify,prespecify,has_cat_continuous,cat_continuous,has_publisher_guidance,publisher_guidance,overall_rank,field_rank,journal_impact_factor,esi_field,journal_homepage,original_link_stat_guidance,perma_link_stat_guidance,notes,domain
MSH/TH,THEORETICAL AND APPLIED GENETICS,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Manuscripts on QTL mapping by any method (association mapping, linkage mapping, etc.) require a minimum sample size of N > 100, whereby larger populations may be required depending on the complexity of the genetic architecture, the heritability of the trait and other relevant factors. Studies on genomic selection generally require sample sizes of N > 200 and precise information about the structure of the population due to relatedness and/or ancestral structure. Likewise, adequate marker densities are required depending on the state-of-the-art for the respective species. Deviations from these rules are possible in well-justified cases to be explained in the cover letter.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,28,2,3.93,AGRICULTURAL SCIENCES,https://link.springer.com/journal/122,https://www.springer.com/journal/122/submission-guidelines#Instructions%20for%20Authors_Minimum%20requirements%20for%20experimental%20studies,https://perma.cc/QT36-FYN7,"Unsure whether this counts as actual statistical guidance, but see ""Minimum requirements for experimental studies""",Life sciences
MSH/TH,JOURNAL OF MANAGEMENT,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",TRUE,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",TRUE,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",TRUE,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Follow-up exploratoryanalysesare encouraged but should not be framed or perceived as confirmatory. Instead, include a section that is clearly labeled as post-hoc exploratory data analysis in the Results and/or Discussion section;",FALSE,NA,FALSE,NA,27,2,8.08,ECONOMICS & BUSINESS,https://journals.sagepub.com/home/jom,https://us.sagepub.com/sites/default/files/jomquantitative_submission_reporting_requirements.pdf,https://perma.cc/Q7EX-CJA6,"See ""Reporting Requirements for Quantitative Submissions""",Social sciences
MSH/TH,JOURNAL OF EXPERIMENTAL MEDICINE,TRUE,TRUE,"We encourage all authors to utilize the EQUATOR network to identify appropriate reporting guidelines based upon study type. Authors should refer to the BRISQ reporting guidelines for any study in which human biospecimens are used. For authors reporting animal research, we encourage use of the ARRIVE guidelines. For studies using cell lines, authors should report the source of the line, whether the line has been authenticated and how, and the mycoplasma contamination status.","equator, brisq, arrive",TRUE,TRUE,TRUE,"Authors should provide clear, detailed descriptions of their statistical analysis in the Materials and methods section and/or figure legends, including but not limited to the statistical test used, actual p-values, number of biological and technical replicates, measure of center, and measure of variability.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,152,2,10.79,IMMUNOLOGY,http://jem.rupress.org,http://jem.rupress.org/submission-guidelines,https://perma.cc/Z938-GKQ9,"See under ""Statistical analysis""",Health sciences
MSH/TH,WILDLIFE MONOGRAPHS,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"Where possible, report exact probabilities (P = 0.057, not P > 0.05). 

Include in the methods your specific model selection criteria (e.g., ΔAIC < 2, wi> 0.9) or significance threshold (α value).

Include thresholds for significance (e.g., α= 0.05) or specific model selection criteria (e.g., ΔAIC < 2, ∑wi> 0.9) if applicable.

Always try to describe the value and magnitude of the biological effect rather than focusing on the results of statistical analyses.That is, terms such as “fewer” or “smaller” tell us little, and stating that something was “statistically different (P< 0.01)” without providing the actual difference conveys little meaning to the reader.For example, stating, “A (= 43 ± 3 ha) was 25% larger than B (P< 0.001)” conveys more information than simply stating, “A was significantly larger than B.”

Avoid redundant use of the word “significantly” (e.g., write “the means differed [P= 0.016]” instead of “the means differed significantly [P= 0.016]”). Report results of statistical tests or central tendency as in the following examples:(t1 = 2.47, P = 0.013), (F3,12 = 33.10, P = 0.01), (= 22.1, P = 0.029), or (= 7.8, SE = 3.21, n= 46). Present P-values <0.001 as P ≤ 0.001.",TRUE,"Include in the methods your specific model selection criteria (e.g., ΔAIC < 2, wi> 0.9) or significance threshold (α value).

Include thresholds for significance (e.g., α= 0.05) or specific model selection criteria (e.g., ΔAIC < 2, ∑wi> 0.9) if applicable.

Always try to describe the value and magnitude of the biological effect rather than focusing on the results of statistical analyses.That is, terms such as “fewer” or “smaller” tell us little, and stating that something was “statistically different (P< 0.01)” without providing the actual difference conveys little meaning to the reader.For example, stating, “A (= 43 ± 3 ha) was 25% larger than B (P< 0.001)” conveys more information than simply stating, “A was significantly larger than B.”

Avoid redundant use of the word “significantly” (e.g., write “the means differed [P= 0.016]” instead of “the means differed significantly [P= 0.016]”). Report results of statistical tests or central tendency as in the following examples:(t1 = 2.47, P = 0.013), (F3,12 = 33.10, P = 0.01), (= 22.1, P = 0.029), or (= 7.8, SE = 3.21, n= 46). Present P-values <0.001 as P ≤ 0.001.",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Journals of The Wildlife Society require that authors describe the magnitude of the biological effect in addition to the results of statistical analyses. This requirement can often be met with figures showing relationships, examples in the text (e.g., predicted distance was 5 km for males and 15 km for females), or odds ratios. 

Always try to describe the value and magnitude of the biological effect rather than focusing on the results of statistical analyses.That is, terms such as “fewer” or “smaller” tell us little, and stating that something was “statistically different (P< 0.01)” without providing the actual difference conveys little meaning to the reader.For example, stating, “A (= 43 ± 3 ha) was 25% larger than B (P< 0.001)” conveys more information than simply stating, “A was significantly larger than B.”",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,16,2,4.8,PLANT & ANIMAL SCIENCE,https://wildlife.onlinelibrary.wiley.com/journal/19385455,https://wildlife.onlinelibrary.wiley.com/pb-assets/assets/19385455/TWSGuidelines2019-1569866837327.docx,NA,"See OSF Storage file ""TWSGuidelines2019"" (https://osf.io/6upz2/), under ""MATHEMATICS AND STATISTICS""",Life sciences
MM/TH,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,TRUE,TRUE,"PRISMA, MOOSE, STROBE, RECORD, EQUATOR","prisma, moose, strobe, record, equator",TRUE,FALSE,TRUE,"In the IJE we actively discourage the use of the term ""statistically significant"" or just ""significant"" and such statements in method sections as ""findings at p<0.05 were considered significant"". Where used, we ask authors to provide effect estimates with confidence intervals and exact P values, and to refrain from the use of the term ""significant"" in either the results or discussion section of their papers. Our justification of this position is given in the Sterne J, Davey-Smith G. ""Sifting the evidence - What's wrong with significance tests?"" BMJ 2001: 322:226-231. See also Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician 2016: DOI:10.1080/00031305.2016.1154108",TRUE,"In the IJE we actively discourage the use of the term ""statistically significant"" or just ""significant"" and such statements in method sections as ""findings at p<0.05 were considered significant"". Where used, we ask authors to provide effect estimates with confidence intervals and exact P values, and to refrain from the use of the term ""significant"" in either the results or discussion section of their papers. Our justification of this position is given in the Sterne J, Davey-Smith G. ""Sifting the evidence - What's wrong with significance tests?"" BMJ 2001: 322:226-231. See also Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician 2016: DOI:10.1080/00031305.2016.1154108",FALSE,NA,FALSE,NA,TRUE,"Where used, we ask authors to provide effect estimates with confidence intervals and exact P values, and to refrain from the use of the term ""significant"" in either the results or discussion section of their papers. Our justification of this position is given in the Sterne J, Davey-Smith G. ""Sifting the evidence - What's wrong with significance tests?"" BMJ 2001: 322:226-231. See also Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician 2016: DOI:10.1080/00031305.2016.1154108",TRUE,"Where used, we ask authors to provide effect estimates with confidence intervals and exact P values",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"If the data are appropriate, age grouping should be mid-decade to mid-decade or in five-year age groups (e.g. 35-44 or 35-39, 40-44, etc, but not 20-29, 30-39 or other groupings.",FALSE,NA,660,11,8.36,"SOCIAL SCIENCES, GENERAL",https://academic.oup.com/ije,https://academic.oup.com/ije/pages/Instructions_To_Authors,https://perma.cc/RU22-2T4D,"This page rrefers to external guidelines, see under ""Reporting Guidelines""",Social sciences
MM/TH,PSYCHOTHERAPY AND PSYCHOSOMATICS,TRUE,TRUE,"PRISMA, ICMJE, CONSORT, TREND, ARRIVE","prisma, icmje, consort, trend, arrive",TRUE,FALSE,TRUE,"All significant results must include the test value, degree(s) of freedom, and probability level.",TRUE,"All significant results must include the test value, degree(s) of freedom, and probability level.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"The Materials and Methods section should clearly list all inclusion and exclusion criteria, methods of research, and variables evaluated and should state how outcomes were assessed.",FALSE,NA,FALSE,NA,TRUE,"Adequate description of statistical analysis should be provided, including the types of statistical tests and whether they were one- or two-tailed.",FALSE,NA,FALSE,NA,TRUE,"...all clinical trials should be registered in a publicly available registry approved by the WHO or ICMJE (see the list here) and the clinical trial number must be clearly stated in the manuscript.

Please indicate if a review protocol exists, if and where it can be accessed, and, if available, provide registration information including the registration number.",FALSE,NA,FALSE,NA,1291,11,13.122,PSYCHIATRY_PSYCHOLOGY,https://www.karger.com/Journal/Home/223864,https://www.karger.com/Journal/Guidelines/223864,https://perma.cc/6W53-H728,"This page refers to external guidelines. See under ""Article Types"" and ""Clinical Trials""",Social sciences
MM/TH,AMERICAN JOURNAL OF PSYCHIATRY,TRUE,TRUE,CONSORT,consort,TRUE,TRUE,TRUE,"All significant and important nonsignificant results must include the test value, degree(s) of freedom, and probability",TRUE,"All significant and important nonsignificant results must include the test value, degree(s) of freedom, and probability",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Adequate description of statistical analysis should be provided, including the names of the statistical tests and whether tests were one- or two-tailed.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,285,5,13.396,PSYCHIATRY_PSYCHOLOGY,https://ajp.psychiatryonline.org,https://ajp.psychiatryonline.org/ajp_ifora,https://perma.cc/C2XM-UVY4,"This page refers to CONSORT, under ""Data analysis""",Social sciences
MM/TH,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,TRUE,TRUE,"CONSORT, STROBE, PRISMA, STARD","consort, strobe, prisma, stard",TRUE,FALSE,TRUE,"Summarize statistics, and when reporting significant results, include the statistical test used, the value of the test statistic, degrees of freedom, and p values.",TRUE,"Summarize statistics, and when reporting significant results, include the statistical test used, the value of the test statistic, degrees of freedom, and p values.

Abstracts should provide ...main findings (giving specific effect sizes, numerical differences, and their statistical significance, if possible)",FALSE,NA,TRUE,Inclusion of determination of sample size (include power calculation).,TRUE,"When appropriate, report effect sizes and/or confidence intervals on the main findings.",TRUE,"When appropriate, report effect sizes and/or confidence intervals on the main findings.",TRUE,"If multiple comparisons are unavoidable, use an appropriate adjustment to control type I error.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,State whether tests were one- or two-tailed.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,41,1,6.25,PSYCHIATRY_PSYCHOLOGY,https://www.jaacap.org,https://www.jaacap.org/content/authorinfo,https://perma.cc/K69X-LJZM,"Unsure whether this counts as actual statistical guidance, but see under ""Method"" and ""Results"" (you may need to use Screenshot View in Perma)",Social sciences
MM/TH,PLANT PHYSIOLOGY,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,30,3,5.949,PLANT & ANIMAL SCIENCE,http://www.plantphysiol.org,https://pphys.msubmit.net/cgi-bin/main.plex?form_type=display_auth_instructions,https://perma.cc/2GCQ-RMY3,"See under ""Full submission guidelines"" -> ""Statistical analysis"". Inserted here in full, because the Perma link is strange: ""All datasets must be complete and include details of relevant statistical analyses (means, standard deviations, etc.) as well as methods of data normalization, transformation, statistical tests and the statistical package or program used. Statistics and error bars must be applied for independent experiments and not for replicates within a single experiment. In general, a minimum of three biological replicates are required. For a detailed discussion of error bars in experimental biology, see Cumming et al., J. Cell Biol. 177: 7-11.""",Life sciences
MM/TH,Molecular Plant,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,8,1,9.326,PLANT & ANIMAL SCIENCE,https://www.cell.com/molecular-plant/home,https://www.cell.com/molecular-plant/authors,https://perma.cc/W7NT-SZG2?type=image,"See under ""Methods"" (you may need to use Screenshot View in Perma)",Life sciences
