Timestamp,Choose coder initials,Enter journal name:,Does the journal provide any guidance related to statistics or data analysis? (including referring to external guidelines),"Are any external statistical guidelines referred to? (this includes external reporting guidelines, such as CONSORT; publisher guidelines shared by many journals, such as Nature life sciences reporting checklist; and references to specific papers covering statistical issues)","If ""Yes"", which external statistical guidelines are referred to? (NOTE that these external guidelines should not be included in your coding of mentioned topics for this journal)","Other than referring to external guidelines, does the journal have its own statistical guidelines?",Is any guidance provided about p-values?,"If YES, please copy and paste all guidance related to p-values here:",Is any guidance provided about statistical significance?,"If YES, please copy and paste all guidance related to statistical significance here:",Is any guidance provided about null hypotheses?,"If YES, please copy and paste all guidance related to null hypotheses here:",Is any guidance provided about sample size justification (including statistical power)?,"If YES, please copy and paste all guidance related to sample size justification (including statistical power) here:",Is any guidance provided about confidence intervals?,"If YES, please copy and paste all guidance related to confidence intervals here:",Is any guidance provided about effect sizes?,"If YES, please copy and paste all guidance related to effect sizes here:",Is any guidance provided about multiple comparisons?,"If YES, please copy and paste all guidance related to multiple comparisons here:",Is any guidance provided about sub-group analyses?,"If YES, please copy and paste all guidance related to sub-group analyses here:",Is any guidance provided about baseline covariates?,"If YES, please copy and paste all guidance related to baseline covariates here:",Is any guidance provided about non-parametric tests?,"If YES, please copy and paste all guidance related to non-parametric tests here:",Is any guidance provided about sensitivity analysis?,"If YES, please copy and paste all guidance related to sensitivity analysis here:",Is any guidance provided about checking model assumptions?,"If YES, please copy and paste all guidance related to checking model assumptions here:",Is any guidance provided about data exclusions?,"If YES, please copy and paste all guidance related to data exclusions here:",Is any guidance provided about handling outliers?,"If YES, please copy and paste all guidance related to handling outliers here:",Is any guidance provided about handling missing data?,"If YES, please copy and paste all guidance related to handling missing data here:",Is any guidance provided about one-sided tests?,"If YES, please copy and paste all guidance related to one-sided tests here:",Is any guidance provided about Bayesian methods?,"If YES, please copy and paste all guidance related to Bayesian methods here:",Is any guidance provided about secondary outcomes?,"If YES, please copy and paste all guidance related to secondary outcomes here:",Is any guidance provided about pre-specification of analyses?,"If YES, please copy and paste all guidance related to pre-specification of analyses here:",Is any guidance provided about categorization of continuous variables?,"If YES, please copy and paste all guidance related to categorization of continuous variables here:","If relevant, use this space to note anything unusual about this journal that the team needs to discuss."
1/16/2020 11:07:57,MSH,THEORETICAL AND APPLIED GENETICS,Yes,No,,Yes - but there is no dedicated section specifically providing statistical guidance,NO,,NO,,NO,,YES,"Manuscripts on QTL mapping by any method (association mapping, linkage mapping, etc.) require a minimum sample size of N > 100, whereby larger populations may be required depending on the complexity of the genetic architecture, the heritability of the trait and other relevant factors. Studies on genomic selection generally require sample sizes of N > 200 and precise information about the structure of the population due to relatedness and/or ancestral structure. Likewise, adequate marker densities are required depending on the state-of-the-art for the respective species. Deviations from these rules are possible in well-justified cases to be explained in the cover letter.",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,
2/4/2020 15:07:40,TH,THEORETICAL AND APPLIED GENETICS,Yes,No,,Yes - but there is no dedicated section specifically providing statistical guidance,NO,,NO,,NO,,YES,"Manuscripts on QTL mapping by any method (association mapping, linkage mapping, etc.) require a minimum sample size of N > 100, whereby larger populations may be required depending on the complexity of the genetic architecture, the heritability of the trait and other relevant factors. Studies on genomic selection generally require sample sizes of N > 200 and precise information about the structure of the population due to relatedness and/or ancestral structure. Likewise, adequate marker densities are required depending on the state-of-the-art for the respective species. Deviations from these rules are possible in well-justified cases to be explained in the cover letter.",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,
,MSH/TH,THEORETICAL AND APPLIED GENETICS,Yes,No,,Yes - but there is no dedicated section specifically providing statistical guidance,NO,,NO,,NO,,YES,"Manuscripts on QTL mapping by any method (association mapping, linkage mapping, etc.) require a minimum sample size of N > 100, whereby larger populations may be required depending on the complexity of the genetic architecture, the heritability of the trait and other relevant factors. Studies on genomic selection generally require sample sizes of N > 200 and precise information about the structure of the population due to relatedness and/or ancestral structure. Likewise, adequate marker densities are required depending on the state-of-the-art for the respective species. Deviations from these rules are possible in well-justified cases to be explained in the cover letter.",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,
1/16/2020 18:04:05,MSH,JOURNAL OF MANAGEMENT,Yes,No,,Yes - but there is no dedicated section specifically providing statistical guidance,YES,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",YES,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",NO,,NO,,NO,,YES,"Follow-up exploratoryanalysesare encouraged but should not be framed or perceived as confirmatory. Instead, include a section that is clearly labeled as post-hoc exploratory data analysis in the Results and/or Discussion section; ",NO,,
2/4/2020 15:31:24,TH,JOURNAL OF MANAGEMENT,Yes,No,,Yes - but there is no dedicated section specifically providing statistical guidance,YES,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",YES,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",NO,,NO,,NO,,YES,"Follow-up exploratoryanalysesare encouraged but should not be framed or perceived as confirmatory. Instead, include a section that is clearly labeled as post-hoc exploratory data analysis in the Results and/or Discussion section; ",NO,,
,MSH/TH,JOURNAL OF MANAGEMENT,Yes,No,,Yes - but there is no dedicated section specifically providing statistical guidance,YES,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",YES,"Authors will need to confirm when submitting their manuscript to the Journal of Managementthat it meets the following requirements,or the authorship team must provide an explanation for why these conditions cannot be met:

All reported statistical estimates (e.g., regression weights, mean differences) must have corresponding standard errors, andinferential statistics (t, z, or F, depending on which is most pertinent)withprecise pvalues reported (e.g., p=.072, rounded to the third decimal place)rather than in star notation (*) or statistical significant cutoff bands (e.g., p< .05);",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",YES,"Describe all data-related decisions, including how outliers were detected and how
missing data were handled",NO,,NO,,NO,,YES,"Follow-up exploratoryanalysesare encouraged but should not be framed or perceived as confirmatory. Instead, include a section that is clearly labeled as post-hoc exploratory data analysis in the Results and/or Discussion section; ",NO,,
1/16/2020 18:12:15,MSH,JOURNAL OF EXPERIMENTAL MEDICINE,Yes,Yes,"We encourage all authors to utilize the EQUATOR network to identify appropriate reporting guidelines based upon study type. Authors should refer to the BRISQ reporting guidelines for any study in which human biospecimens are used. For authors reporting animal research, we encourage use of the ARRIVE guidelines. For studies using cell lines, authors should report the source of the line, whether the line has been authenticated and how, and the mycoplasma contamination status.",Yes - there is a dedicated section specifically providing statistical guidance,YES,"Authors should provide clear, detailed descriptions of their statistical analysis in the Materials and methods section and/or figure legends, including but not limited to the statistical test used, actual p-values, number of biological and technical replicates, measure of center, and measure of variability.",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,
2/4/2020 15:39:28,TH,JOURNAL OF EXPERIMENTAL MEDICINE,Yes,Yes,"We encourage all authors to utilize the EQUATOR network to identify appropriate reporting guidelines based upon study type. Authors should refer to the BRISQ reporting guidelines for any study in which human biospecimens are used. For authors reporting animal research, we encourage use of the ARRIVE guidelines. For studies using cell lines, authors should report the source of the line, whether the line has been authenticated and how, and the mycoplasma contamination status.",Yes - there is a dedicated section specifically providing statistical guidance,YES,"Authors should provide clear, detailed descriptions of their statistical analysis in the Materials and methods section and/or figure legends, including but not limited to the statistical test used, actual p-values, number of biological and technical replicates, measure of center, and measure of variability.",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,
,MSH/TH,JOURNAL OF EXPERIMENTAL MEDICINE,Yes,Yes,"We encourage all authors to utilize the EQUATOR network to identify appropriate reporting guidelines based upon study type. Authors should refer to the BRISQ reporting guidelines for any study in which human biospecimens are used. For authors reporting animal research, we encourage use of the ARRIVE guidelines. For studies using cell lines, authors should report the source of the line, whether the line has been authenticated and how, and the mycoplasma contamination status.",Yes - there is a dedicated section specifically providing statistical guidance,YES,"Authors should provide clear, detailed descriptions of their statistical analysis in the Materials and methods section and/or figure legends, including but not limited to the statistical test used, actual p-values, number of biological and technical replicates, measure of center, and measure of variability.",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,
1/16/2020 18:42:08,MSH,WILDLIFE MONOGRAPHS,Yes,No,,Yes - there is a dedicated section specifically providing statistical guidance,YES,"Where possible, report exact probabilities (P = 0.057, not P > 0.05). 

Include in the methods your specific model selection criteria (e.g., ΔAIC < 2, wi> 0.9) or significance threshold (α value).

Include thresholds for significance (e.g., α= 0.05) or specific model selection criteria (e.g., ΔAIC < 2, ∑wi> 0.9) if applicable.

Always try to describe the value and magnitude of the biological effect rather than focusing on the results of statistical analyses.That is, terms such as “fewer” or “smaller” tell us little, and stating that something was “statistically different (P< 0.01)” without providing the actual difference conveys little meaning to the reader.For example, stating, “A (= 43 ± 3 ha) was 25% larger than B (P< 0.001)” conveys more information than simply stating, “A was significantly larger than B.”

Avoid redundant use of the word “significantly” (e.g., write “the means differed [P= 0.016]” instead of “the means differed significantly [P= 0.016]”). Report results of statistical tests or central tendency as in the following examples:(t1 = 2.47, P = 0.013), (F3,12 = 33.10, P = 0.01), (= 22.1, P = 0.029), or (= 7.8, SE = 3.21, n= 46). Present P-values <0.001 as P ≤ 0.001.",YES,"Include in the methods your specific model selection criteria (e.g., ΔAIC < 2, wi> 0.9) or significance threshold (α value).

Include thresholds for significance (e.g., α= 0.05) or specific model selection criteria (e.g., ΔAIC < 2, ∑wi> 0.9) if applicable.

Always try to describe the value and magnitude of the biological effect rather than focusing on the results of statistical analyses.That is, terms such as “fewer” or “smaller” tell us little, and stating that something was “statistically different (P< 0.01)” without providing the actual difference conveys little meaning to the reader.For example, stating, “A (= 43 ± 3 ha) was 25% larger than B (P< 0.001)” conveys more information than simply stating, “A was significantly larger than B.”

Avoid redundant use of the word “significantly” (e.g., write “the means differed [P= 0.016]” instead of “the means differed significantly [P= 0.016]”). Report results of statistical tests or central tendency as in the following examples:(t1 = 2.47, P = 0.013), (F3,12 = 33.10, P = 0.01), (= 22.1, P = 0.029), or (= 7.8, SE = 3.21, n= 46). Present P-values <0.001 as P ≤ 0.001.",NO,,NO,,NO,,YES,"Journals of The Wildlife Society require that authors describe the magnitude of the biological effect in addition to the results of statistical analyses. This requirement can often be met with figures showing relationships, examples in the text (e.g., predicted distance was 5 km for males and 15 km for females), or odds ratios. 

Always try to describe the value and magnitude of the biological effect rather than focusing on the results of statistical analyses.That is, terms such as “fewer” or “smaller” tell us little, and stating that something was “statistically different (P< 0.01)” without providing the actual difference conveys little meaning to the reader.For example, stating, “A (= 43 ± 3 ha) was 25% larger than B (P< 0.001)” conveys more information than simply stating, “A was significantly larger than B.”",NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,
